customer_id,customer_name,signup_date,region,segment,industry,account_owner,contract_tier,employee_count,country,active_flag,order_count,total_net_revenue,average_order_value,last_order_date,ticket_count,avg_resolution_hours,avg_satisfaction_score,value_tier,risk_flag
C-0048,Customer 48 Analytics,2025-06-12 00:00:00,West,Strategic,Retail,Asha Rao,Bronze,2306,UAE,Y,2.0,13513.107899999999,6756.5539499999995,2026-01-04,0.0,0.0,0.0,High,True
C-0049,Customer 49 Analytics,2025-06-23 00:00:00,Central,Public Sector,Healthcare,Vikram Menon,Silver,2353,Singapore,Y,2.0,10132.3472,5066.1736,2026-03-14,0.0,0.0,0.0,High,True
C-0050,Customer 50 Analytics,2025-07-04 00:00:00,North,Enterprise,Finance,Priya Shah,Gold,2400,India,Y,2.0,3503.4267999999997,1751.7133999999999,2026-01-22,0.0,0.0,0.0,High,True
C-0051,Customer 51 Analytics,2025-07-15 00:00:00,South,Mid-Market,Manufacturing,Rahul Iyer,Platinum,2447,USA,N,1.0,297.882,297.882,2026-04-01,7.0,120.0,3.0,Medium,False
C-0052,Customer 52 Analytics,2025-07-26 00:00:00,East,SMB,Telecom,Neha Gupta,Bronze,2494,UK,Y,1.0,4616.6149,4616.6149,2026-02-09,0.0,0.0,0.0,High,True
C-0053,Customer 53 Analytics,2025-08-06 00:00:00,West,Strategic,Logistics,Daniel Thomas,Silver,2541,UAE,Y,1.0,3159.9680000000003,3159.9680000000003,2026-04-19,0.0,0.0,0.0,High,True
C-0054,Customer 54 Analytics,2025-08-17 00:00:00,Central,Public Sector,Energy,Maya Nair,Gold,2588,Singapore,Y,2.0,2850.7233,1425.36165,2026-02-27,0.0,0.0,0.0,High,True
C-0055,Customer 55 Analytics,2025-08-28 00:00:00,North,Enterprise,Technology,Karan Mehta,Platinum,2635,India,N,2.0,12945.578000000001,6472.789000000001,2026-01-07,0.0,0.0,0.0,High,True
C-0056,Customer 56 Analytics,2025-09-08 00:00:00,South,Mid-Market,Retail,Asha Rao,Bronze,2682,USA,Y,2.0,9907.812399999999,4953.906199999999,2026-03-17,7.0,132.0,2.5714285714285716,High,True
C-0057,Customer 57 Analytics,2025-09-19 00:00:00,East,SMB,Healthcare,Vikram Menon,Silver,2729,UK,Y,2.0,4100.7888,2050.3944,2026-01-25,0.0,0.0,0.0,High,True
C-0058,Customer 58 Analytics,2025-09-30 00:00:00,West,Strategic,Finance,Priya Shah,Gold,2776,UAE,Y,1.0,428.7995,428.7995,2026-04-04,0.0,0.0,0.0,Medium,True
C-0059,Customer 59 Analytics,2025-10-11 00:00:00,Central,Public Sector,Manufacturing,Rahul Iyer,Platinum,2823,Singapore,N,1.0,6922.6808,6922.6808,2026-02-12,0.0,0.0,0.0,High,True
C-0060,Customer 60 Analytics,2025-10-22 00:00:00,North,Enterprise,Telecom,Neha Gupta,Bronze,2870,India,Y,1.0,3092.5874999999996,3092.5874999999996,2026-04-22,0.0,0.0,0.0,High,True
C-0061,Customer 61 Analytics,2025-11-02 00:00:00,South,Mid-Market,Logistics,Daniel Thomas,Silver,2917,USA,Y,2.0,3980.9872,1990.4936,2026-03-02,7.0,108.0,2.857142857142857,High,True
C-0062,Customer 62 Analytics,2025-11-13 00:00:00,,SMB,Energy,Maya Nair,Gold,2964,UK,Y,2.0,12347.1868,6173.5934,2026-01-10,0.0,0.0,0.0,High,True
C-0063,Customer 63 Analytics,2025-11-24 00:00:00,West,Strategic,Technology,Karan Mehta,Platinum,3011,UAE,N,2.0,9648.5796,4824.2898,2026-03-20,0.0,0.0,0.0,High,True
C-0064,Customer 64 Analytics,2025-12-05 00:00:00,Central,Public Sector,Retail,Asha Rao,Bronze,3058,Singapore,Y,2.0,4114.2449,2057.12245,2026-01-28,0.0,0.0,0.0,High,True
C-0065,Customer 65 Analytics,2025-12-16 00:00:00,North,Enterprise,Healthcare,Vikram Menon,Silver,3105,India,Y,1.0,542.368,542.368,2026-04-07,0.0,0.0,0.0,Medium,True
C-0066,Customer 66 Analytics,2025-12-27 00:00:00,South,Mid-Market,Finance,Priya Shah,Gold,3152,USA,Y,1.0,6730.8285,6730.8285,2026-02-15,7.0,144.0,3.142857142857143,High,False
C-0067,Customer 67 Analytics,2026-01-07 00:00:00,East,SMB,Manufacturing,Rahul Iyer,Platinum,3199,UK,N,1.0,3007.8579999999997,3007.8579999999997,2026-04-25,0.0,0.0,0.0,High,True
C-0068,Customer 68 Analytics,2026-01-18 00:00:00,West,Strategic,Telecom,Neha Gupta,Bronze,3246,UAE,Y,1.0,1125.8369,1125.8369,2026-03-05,0.0,0.0,0.0,High,True
C-0069,Customer 69 Analytics,2026-01-29 00:00:00,Central,Public Sector,Logistics,Daniel Thomas,Silver,3293,Singapore,Y,2.0,14563.8288,7281.9144,2026-01-13,0.0,0.0,0.0,High,True
C-0070,Customer 70 Analytics,2024-01-11 00:00:00,North,Enterprise,Energy,Maya Nair,Gold,3340,India,Y,2.0,9351.4295,4675.71475,2026-03-23,0.0,0.0,0.0,High,True
C-0071,Customer 71 Analytics,2024-01-22 00:00:00,South,Mid-Market,Technology,Karan Mehta,Platinum,3387,USA,N,2.0,5462.3422,2731.1711,2026-01-31,7.0,156.0,3.4285714285714284,High,False
C-0072,Customer 72 Analytics,2024-02-02 00:00:00,East,SMB,Retail,Asha Rao,Bronze,3434,UK,Y,1.0,638.5875000000001,638.5875000000001,2026-04-10,0.0,0.0,0.0,Medium,True
C-0073,Customer 73 Analytics,2024-02-13 00:00:00,West,Strategic,Healthcare,Vikram Menon,Silver,3481,UAE,Y,1.0,6521.6272,6521.6272,2026-02-18,0.0,0.0,0.0,High,True
C-0074,Customer 74 Analytics,2024-02-24 00:00:00,Central,Public Sector,Finance,Priya Shah,Gold,3528,Singapore,Y,1.0,2905.7795,2905.7795,,0.0,0.0,0.0,High,True
C-0075,Customer 75 Analytics,2024-03-06 00:00:00,North,Enterprise,Manufacturing,Rahul Iyer,Platinum,3575,India,N,1.0,1193.3376,1193.3376,2026-03-08,0.0,0.0,0.0,High,True
C-0076,Customer 76 Analytics,2024-03-17 00:00:00,South,Mid-Market,Telecom,Neha Gupta,Bronze,3622,USA,Y,1.0,232.1349,232.1349,2026-01-16,7.0,132.0,3.0,Medium,False
C-0077,Customer 77 Analytics,bad-date,East,SMB,Logistics,Daniel Thomas,Silver,3669,UK,Y,2.0,9023.0212,4511.5106,2026-03-26,0.0,0.0,0.0,High,True
C-0078,Customer 78 Analytics,2024-04-08 00:00:00,West,Strategic,Energy,Maya Nair,Gold,3716,UAE,Y,2.0,5473.0923,2736.54615,2026-02-03,0.0,0.0,0.0,High,True
C-0079,Customer 79 Analytics,2024-04-19 00:00:00,Central,Public Sector,Technology,Karan Mehta,Platinum,3763,Singapore,N,1.0,717.458,717.458,2026-04-13,0.0,0.0,0.0,Medium,True
C-0080,Customer 80 Analytics,2024-04-30 00:00:00,North,Enterprise,Retail,Asha Rao,Bronze,3810,India,Y,1.0,6295.0769,6295.0769,2026-02-21,0.0,0.0,0.0,High,True
C-0081,Customer 81 Analytics,2024-05-11 00:00:00,South,Mid-Market,Healthcare,Vikram Menon,Silver,3857,USA,Y,1.0,4458.1632,4458.1632,2026-01-01,7.0,108.0,2.5714285714285716,High,True
C-0082,Customer 82 Analytics,2024-05-22 00:00:00,East,SMB,Finance,Priya Shah,Gold,3904,UK,Y,1.0,1240.27,1240.27,2026-03-11,0.0,0.0,0.0,High,True
C-0083,Customer 83 Analytics,2024-06-02 00:00:00,West,Strategic,Manufacturing,Rahul Iyer,Platinum,3951,UAE,N,2.0,7611.8622,3805.9311,2026-01-19,0.0,0.0,0.0,High,True
C-0084,Customer 84 Analytics,2024-06-13 00:00:00,Central,Public Sector,Telecom,Neha Gupta,Bronze,3998,Singapore,Y,2.0,10574.3877,5287.19385,2026-03-29,0.0,0.0,0.0,High,True
C-0085,Customer 85 Analytics,2024-06-24 00:00:00,North,Enterprise,Logistics,Daniel Thomas,Silver,4045,India,Y,2.0,5449.144399999999,2724.5721999999996,2026-02-06,0.0,0.0,0.0,High,True
C-0086,Customer 86 Analytics,2024-07-05 00:00:00,South,Mid-Market,Energy,Maya Nair,Gold,4092,USA,Y,1.0,778.9795,778.9795,2026-04-16,6.0,144.0,3.0,Medium,False
C-0087,Customer 87 Analytics,2024-07-16 00:00:00,East,SMB,Technology,Karan Mehta,Platinum,4139,UK,N,1.0,6051.1776,6051.1776,2026-02-24,0.0,0.0,0.0,High,True
C-0088,Customer 88 Analytics,2024-07-27 00:00:00,West,Strategic,Retail,Asha Rao,Bronze,4186,UAE,Y,1.0,4379.83,4379.83,2026-01-04,0.0,0.0,0.0,High,True
C-0089,Customer 89 Analytics,2024-08-07 00:00:00,Central,Public Sector,Healthcare,Vikram Menon,Silver,4233,Singapore,Y,0.0,0.0,0.0,,0.0,0.0,0.0,Low,True
C-0090,Customer 90 Analytics,2024-08-18 00:00:00,North,Enterprise,Finance,Priya Shah,Gold,4280,India,Y,2.0,7474.8123,3737.40615,2026-01-22,0.0,0.0,0.0,High,True
C-0091,Customer 91 Analytics,2024-08-29 00:00:00,South,Mid-Market,Manufacturing,Rahul Iyer,Platinum,4327,USA,N,2.0,10239.039799999999,5119.519899999999,2026-04-01,6.0,158.39999999999998,2.8,High,True
C-0092,Customer 92 Analytics,2024-09-09 00:00:00,East,SMB,Telecom,Neha Gupta,Bronze,4374,UK,Y,2.0,5390.4985,2695.24925,2026-02-09,0.0,0.0,0.0,High,True
C-0093,Customer 93 Analytics,2024-09-20 00:00:00,West,Strategic,Logistics,Daniel Thomas,Silver,4421,UAE,Y,1.0,1317.0432,1317.0432,2026-04-19,0.0,0.0,0.0,High,True
C-0094,Customer 94 Analytics,2024-10-01 00:00:00,Central,Public Sector,Energy,Maya Nair,Gold,4468,Singapore,Y,1.0,5786.71,5786.71,2026-02-27,0.0,0.0,0.0,High,True
C-0095,Customer 95 Analytics,2024-10-12 00:00:00,North,unknown_segment,Technology,Karan Mehta,Platinum,4515,India,N,1.0,4288.381399999999,4288.381399999999,2026-01-07,0.0,0.0,0.0,High,True
C-0096,Customer 96 Analytics,2024-10-23 00:00:00,South,Mid-Market,Retail,Asha Rao,Bronze,4562,USA,Y,1.0,2025.5202,2025.5202,2026-03-17,6.0,187.2,3.3333333333333335,High,False
C-0097,Customer 97 Analytics,2024-11-03 00:00:00,East,SMB,Healthcare,Vikram Menon,Silver,4609,UK,Y,2.0,7303.064399999999,3651.5321999999996,2026-01-25,0.0,0.0,0.0,High,True
C-0098,Customer 98 Analytics,2024-11-14 00:00:00,West,Strategic,Finance,Priya Shah,Gold,4656,UAE,Y,1.0,5041.8144,5041.8144,,0.0,0.0,0.0,High,True
C-0099,Customer 99 Analytics,2024-11-25 00:00:00,Central,Public Sector,Manufacturing,Rahul Iyer,Platinum,4703,Singapore,N,2.0,5297.1546,2648.5773,2026-02-12,0.0,0.0,0.0,High,True
C-0100,Customer 100 Analytics,2024-12-06 00:00:00,North,Enterprise,Telecom,Neha Gupta,Bronze,4750,India,Y,1.0,1402.31,1402.31,2026-04-22,0.0,0.0,0.0,High,True
C-0101,Customer 101 Analytics,2024-12-17 00:00:00,South,Mid-Market,Logistics,Daniel Thomas,Silver,4797,USA,Y,1.0,5508.333199999999,5508.333199999999,2026-03-02,6.0,144.0,2.6666666666666665,High,True
C-0102,Customer 102 Analytics,2024-12-28 00:00:00,East,SMB,Energy,Maya Nair,Gold,4844,UK,Y,1.0,4179.5838,4179.5838,2026-01-10,0.0,0.0,0.0,High,True
C-0103,Customer 103 Analytics,2025-01-08 00:00:00,West,Strategic,Technology,Karan Mehta,Platinum,4891,UAE,N,1.0,2086.3017999999997,2086.3017999999997,2026-03-20,0.0,0.0,0.0,High,True
C-0104,Customer 104 Analytics,2025-01-19 00:00:00,Central,Public Sector,Retail,Asha Rao,Bronze,4938,Singapore,Y,2.0,7096.618499999999,3548.3092499999993,2026-01-28,0.0,0.0,0.0,High,True
C-0105,Customer 105 Analytics,2025-01-30 00:00:00,North,Enterprise,Healthcare,Vikram Menon,Silver,4985,India,Y,2.0,12200.2212,6100.1106,2026-04-07,0.0,0.0,0.0,High,True
C-0106,Customer 106 Analytics,2025-02-10 00:00:00,South,Mid-Market,Finance,Priya Shah,Gold,5032,USA,Y,2.0,6209.1518,3104.5759,2026-02-15,6.0,144.0,2.8333333333333335,High,True
C-0107,Customer 107 Analytics,2025-02-21 00:00:00,East,SMB,Manufacturing,Rahul Iyer,Platinum,5079,UK,N,1.0,1474.4614,1474.4614,2026-04-25,0.0,0.0,0.0,High,True
C-0108,Customer 108 Analytics,2025-03-04 00:00:00,West,Strategic,Telecom,Neha Gupta,Bronze,5126,UAE,Y,1.0,8191.240199999999,8191.240199999999,2026-03-05,0.0,0.0,0.0,High,True
C-0109,Customer 109 Analytics,2025-03-15 00:00:00,Central,Public Sector,Logistics,Daniel Thomas,Silver,5173,Singapore,Y,1.0,4053.4372000000003,4053.4372000000003,2026-01-13,0.0,0.0,0.0,High,True
C-0110,Customer 110 Analytics,2025-03-26 00:00:00,North,Enterprise,Energy,Maya Nair,Gold,5220,India,Y,1.0,2129.7344000000003,2129.7344000000003,2026-03-23,0.0,0.0,0.0,High,True
C-0111,Customer 111 Analytics,bad-date,South,Mid-Market,Technology,Karan Mehta,Platinum,5267,USA,N,2.0,6855.4746000000005,3427.7373000000002,2026-01-31,6.0,172.8,3.0,High,False
C-0112,Customer 112 Analytics,2025-04-17 00:00:00,East,SMB,Retail,Asha Rao,Bronze,5314,UK,Y,2.0,11819.222600000001,5909.6113000000005,2026-04-10,0.0,0.0,0.0,High,True
C-0113,Customer 113 Analytics,2025-04-28 00:00:00,West,Strategic,Healthcare,Vikram Menon,Silver,5361,UAE,Y,2.0,6109.0887999999995,3054.5443999999998,2026-02-18,0.0,0.0,0.0,High,True
C-0114,Customer 114 Analytics,2025-05-09 00:00:00,Central,Public Sector,Finance,Priya Shah,Gold,5408,Singapore,Y,0.0,0.0,0.0,,0.0,0.0,0.0,Low,True
C-0115,Customer 115 Analytics,2025-05-20 00:00:00,North,Enterprise,Manufacturing,Rahul Iyer,Platinum,5455,India,N,1.0,0.0,0.0,2026-03-08,0.0,0.0,0.0,Low,True
C-0116,Customer 116 Analytics,2025-05-31 00:00:00,South,Mid-Market,Telecom,Neha Gupta,Bronze,5502,USA,Y,1.0,3909.9415999999997,3909.9415999999997,2026-01-16,6.0,129.60000000000002,3.2,High,False
C-0117,Customer 117 Analytics,2025-06-11 00:00:00,East,SMB,Logistics,Daniel Thomas,Silver,5549,UK,Y,1.0,2155.8179999999998,2155.8179999999998,2026-03-26,0.0,0.0,0.0,High,True
C-0118,Customer 118 Analytics,2025-06-22 00:00:00,West,Strategic,Energy,Maya Nair,Gold,5596,UAE,Y,2.0,9861.7518,4930.8759,2026-02-03,0.0,0.0,0.0,High,True
C-0119,Customer 119 Analytics,2025-07-03 00:00:00,Central,Public Sector,Technology,Karan Mehta,Platinum,5643,Singapore,N,2.0,11407.759600000001,5703.879800000001,2026-04-13,0.0,0.0,0.0,High,True
C-0120,Customer 120 Analytics,2025-07-14 00:00:00,North,Enterprise,Retail,Asha Rao,Bronze,5690,India,Y,2.0,7775.040599999999,3887.5202999999997,2026-02-21,0.0,0.0,0.0,High,True
